Date,AAPL,AMZN,BA,GOOG,IBM,MGM,T,^GSPC
2013-01-02,19.779285430908203,12.803999900817871,76.55000305175781,17.918338775634766,185.5544891357422,11.960000038146973,25.974319458007812,1426.18994140625
2013-01-03,19.567142486572266,12.863499641418457,76.98999786376953,18.055572509765625,187.06500244140625,12.270000457763672,26.503021240234375,1462.4200439453125
2013-01-04,19.177499771118164,12.878999710083008,77.79000091552734,18.16541290283203,185.6501007080078,12.449999809265137,26.510574340820312,1459.3699951171875
2013-01-07,18.64285659790039,13.148500442504883,77.54000091552734,18.317590713500977,184.89483642578125,12.529999732971191,26.62386703491211,1466.469970703125
2013-01-08,18.90035629272461,13.353500366210938,75.23999786376953,18.319833755493164,184.43594360351562,12.84000015258789,26.450151443481445,1461.8900146484375
2013-01-09,18.66071319580078,13.408499717712402,74.91999816894531,18.238388061523438,184.9713134765625,13.119999885559082,26.0120849609375,1457.1500244140625
2013-01-10,18.876785278320312,13.427000045776367,76.93000030517578,18.501401901245117,184.17782592773438,12.850000381469727,26.019636154174805,1461.02001953125
2013-01-11,18.60714340209961,13.255000114440918,75.70999908447266,18.480730056762695,185.6118621826172,12.619999885559082,26.0120849609375,1472.1199951171875
2013-01-14,17.952856063842773,13.399999618530273,75.2300033569336,18.3561954498291,184.34034729003906,12.720000267028809,25.80060386657715,1472.050048828125
2013-01-15,17.796428680419922,13.534000396728516,76.20999908447266,17.916095733642578,182.89674377441406,12.59000015258789,25.664653778076172,1470.6700439453125
2013-01-16,17.665714263916016,13.52649974822998,73.8499984741211,17.9925594329834,183.55641174316406,13.010000228881836,25.40030288696289,1472.3299560546875
2013-01-17,18.225357055664062,13.574999809265137,72.77999877929688,17.875747680664062,185.32504272460938,12.989999771118164,25.143505096435547,1472.6300048828125
2013-01-18,17.804285049438477,13.541500091552734,75.16000366210938,17.69268226623535,185.49713134765625,12.829999923706055,24.78852081298828,1480.949951171875
2013-01-22,18.020000457763672,13.581000328063965,74.12000274658203,17.550716400146484,185.8126220703125,12.859999656677246,25.2945613861084,1485.97998046875
2013-01-23,18.171785354614258,13.528499603271484,73.98999786376953,18.33104133605957,194.55067443847656,13.069999694824219,25.362537384033203,1492.56005859375
2013-01-24,16.428571701049805,13.468500137329102,74.41000366210938,18.461801528930664,194.94264221191406,12.920000076293945,25.566465377807617,1494.81005859375
2013-01-25,16.131786346435547,13.75,75.29000091552734,18.699161529541016,195.45889282226562,13.029999732971191,25.77039337158203,1494.8199462890625
2013-01-28,15.636786460876465,14.189000129699707,73.9000015258789,18.723819732666016,195.84129333496094,13.039999961853027,25.679758071899414,1502.9599609375
2013-01-29,16.375,13.767499923706055,74.23999786376953,18.599035263061523,195.35372924804688,12.65999984741211,25.77794647216797,1500.1800537109375
2013-01-30,16.321428298950195,14.149999618530273,74.41999816894531,18.773134231567383,194.73231506347656,12.520000457763672,26.155588150024414,1507.8399658203125
2013-01-31,16.320714950561523,13.552000045776367,74.5,18.692684173583984,194.3785858154297,12.710000038146973,26.080059051513672,1501.9599609375
2013-02-01,16.396785736083984,13.446499824523926,74.48999786376953,18.88421630859375,195.6501007080078,12.779999732971191,26.555891036987305,1498.1099853515625
2013-02-04,16.211071014404297,13.138999938964844,74.29000091552734,19.120580673217773,195.2103271484375,12.84000015258789,26.72205352783203,1513.1700439453125
2013-02-05,15.858928680419922,13.100000381469727,75.69000244140625,18.95719337463379,195.32504272460938,12.789999961853027,26.72205352783203,1495.7099609375
2013-02-06,16.302499771118164,13.258000373840332,75.47000122070312,18.905885696411133,191.5774383544922,12.800000190734863,26.510574340820312,1511.2900390625
2013-02-07,16.54464340209961,13.204999923706055,76.31999969482422,19.170644760131836,191.7973175048828,12.920000076293945,26.767372131347656,1512.1199951171875
2013-02-08,16.928571701049805,13.069999694824219,77.23999786376953,19.430419921875,191.1759033203125,12.989999771118164,26.72960662841797,1509.3900146484375
2013-02-11,17.01785659790039,13.15999984741211,76.41999816894531,19.387332916259766,192.14149475097656,13.5,26.631420135498047,1517.9300537109375
2013-02-12,17.125356674194336,12.959500312805176,76.05999755859375,19.47076988220215,191.21414184570312,13.050000190734863,26.62386703491211,1517.010009765625
2013-02-13,16.686071395874023,13.076499938964844,75.66999816894531,19.430419921875,191.8260040283203,13.449999809265137,26.94108772277832,1519.4300537109375
2013-02-14,16.59000015258789,13.368499755859375,74.69000244140625,19.42045783996582,190.9464569091797,13.239999771118164,26.75226593017578,1520.3299560546875
2013-02-15,16.74464225769043,13.381500244140625,75.26000213623047,19.61149024963379,191.1854705810547,13.229999542236328,26.67673683166504,1521.3800048828125
2013-02-19,16.467857360839844,13.295499801635742,74.98999786376953,19.825439453125,191.7781982421875,12.920000076293945,26.714502334594727,1519.7900390625
2013-02-20,16.346071243286133,13.510000228881836,75.63999938964844,20.05731964111328,191.7973175048828,12.90999984741211,26.948640823364258,1530.93994140625
2013-02-21,15.928570747375488,13.255999565124512,74.95999908447266,19.87550163269043,189.89483642578125,12.5,26.70694923400879,1511.949951171875
2013-02-22,16.04464340209961,13.331000328063965,76.69999694824219,19.906883239746094,190.46844482421875,12.40999984741211,26.77492332458496,1502.4200439453125
2013-02-25,16.20892906188965,13.347000122070312,76.83000183105469,19.98259925842285,192.8011474609375,12.550000190734863,27.016616821289062,1515.5999755859375
2013-02-26,15.850713729858398,13.044500350952148,75.43000030517578,19.80078125,189.89483642578125,12.220000267028809,26.842899322509766,1487.8499755859375
